2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: NATALIA, Priority: No, Number: PROGRA, of 1, INTELIGENCIA, VELOCIDAD, LOCURA, 
2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: ALLAN, Priority: No, Number: 2, of DESTRUCCION, 
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:02 - [2024-10-10 11:41:02] The monster Monstruo 24111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] MonsterMonstruo 4111101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 2.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] Monster Monstruo 34111101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 11:41:03 - [2024-10-10 11:41:03] The monster Monstruo 34111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
