2024-10-10 03:10:26 - [2024-10-10 03:10:26] The monster Monstruo 261003101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:04 - [2024-10-10 11:41:04] The monster Monstruo 44111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 11:41:04 - [2024-10-10 11:41:04] The monster Monstruo 44111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:04 - [2024-10-10 11:41:04] The monster Monstruo 44111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:04 - [2024-10-10 11:41:04] The monster Monstruo 44111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 11:41:05 - [2024-10-10 11:41:05] The monster Monstruo 54111101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
